file_name,image_id_a,image_id_b,n_batches_for_file,mask_area_a_px,mask_area_b_px,n_anns_a,n_anns_b,iou
20111009110234Ch.jpeg,010401-20111009110234Ch,010402-20111009110234Ch,3,5265,14753,10,16,0.23651862375687194
20171101133730Ch.jpeg,010101-20171101133730Ch,010103-20171101133730Ch,3,6121,1851,5,2,0.24019912881144992
20160920230134Lh.jpeg,010402-20160920230134Lh,010403-20160920230134Lh,3,12971,3693,8,2,0.24163624171075182
20140531195834Ch.jpeg,010203-20140531195834Ch,010202-20140531195834Ch,2,1440,3506,1,6,0.24490309589730683
20110203082634Lh.jpeg,010102-20110203082634Lh,010101-20110203082634Lh,3,4684,4045,1,5,0.24806977409207892
20120913165314Mh.jpeg,010401-20120913165314Mh,010402-20120913165314Mh,3,3024,9961,4,3,0.2506019454878166
20210201020330Lh.jpeg,010202-20210201020330Lh,010201-20210201020330Lh,3,4954,9498,2,3,0.25168889658756277
20160920230134Lh.jpeg,010403-20160920230134Lh,010401-20160920230134Lh,3,3693,11210,2,4,0.2548837992590098
20180202130330Ch.jpeg,050103-20180202130330Ch,050102-20180202130330Ch,3,2080,7273,3,1,0.25729264686113723
20170218173710Mh.jpeg,010102-20170218173710Mh,010101-20170218173710Mh,2,10600,20103,2,9,0.258990445729282
20111215063134Lh.jpeg,010401-20111215063134Lh,010402-20111215063134Lh,3,7420,27525,5,9,0.26232705992847594
20120519070814Th.jpeg,010401-20120519070814Th,010402-20120519070814Th,3,42523,28380,16,20,0.2690937729331114
20111009110234Ch.jpeg,010402-20111009110234Ch,010403-20111009110234Ch,3,14753,6584,16,7,0.2708159618820727
20170726235030Lh.jpeg,010201-20170726235030Lh,010202-20170726235030Lh,3,9605,3295,7,2,0.27218934911242604
20121218063534Lh.jpeg,010402-20121218063534Lh,010401-20121218063534Lh,3,27192,9277,11,7,0.2726923748036992
20120703070814Th.jpeg,010402-20120703070814Th,010403-20120703070814Th,3,32867,10539,21,8,0.27585902824725905
